number,kind,line1,line2,line3
8275,commands,"slap","slaps","slaps"
8276,cast,"You invoke the %s.","","%s invokes the %s!"
8277,cast,"You invoke the %s.","%s invokes the %s on you!","%s invokes the %s on %s!"
8278,cast,"You invoke the %s.","%s invokes the %s on you!","%s invokes the %s on %s!"
8279,cast,"You invoke the %s.","%s invokes the %s on you!","%s invokes the %s on %s!"
8280,cast,"You invoke the %s.","%s invokes the %s on you!","%s invokes the %s on %s!"
8281,other,"A %s strides into the room from %s.","The %s strides out of the room to %s.","The dark cultist runs after you!"
8282,other,"The %s slashes you for %d damage!","The %s slashes %s for %s damage!","The dark cultist collapses without a sound."
8283,other,"You discharge an %s at %s for %d damage!","%s discharges an %s at you for %d damage!","%s discharges an %s at %s!"
8284,other,"A %s scuttles into the room from %s.","The %s scuttles out of the room to %s.","The grey spider runs after you!"
8285,other,"The %s bites you for %d damage!","The %s bites %s for %s damage!","The grey spider collapses, its legs curling tightly around it."
8286,commands,"swing at","swings at","swings at"
8287,commands,"lunge at","lunges at","lunges at"
8288,commands,"flail at","flails at","flails at"
8289,commands,"swipe at","swipes at","swipes at"
8290,other,"A %s shambles into the room from %s.","The %s wanders out of the room to %s.","The mummy lumbers after you!"
8291,other,"The %s smashes you with its arm for %d damage!","The %s smashes %s with its arm for %s damage!","The mummy's wrapping unravels, revealing nothing but dust."
8293,other,"The %s %ssnaps at %s, %sbut %s dodges out of the way!","The %s %ssnaps at you with its %steeth!","The %s %ssnaps at %s with its %steeth!"
8294,other,"The %s %slunges at %s, %sbut %s dodges out of the way!","The %s %slunges at %syou!","The %s %slunges at %s! %s"
8295,other,"The %s %sclaws at %s, %sbut %s dodges out of the way!","The %s %sswipes at you with its %sclaws!","The %s %sswipes at %s with its %sclaws!"
8296,other,"The %s %slashes at %s, %sbut %s dodges out of the way!","The %s %sflails at you!","The %s %sflails at %s!"
8297,other,"The %s %s you, but your armour deflects the blow!","The %s %s %s, but %s armour deflects the blow!","The %s %s you with their %s, but you dodge!"
8299,other,"The %s %sswings at %s, %sbut %s dodges out of the way!","The %s %sswings at you with its %sarm!","The %s %sswings at %s with its %sarm!"
8301,other,"The %s %sreaches out for %s, %sbut %s dodges out of the way!","The %s %sreaches out for %syou!","The %s %sreaches out for %s! %s"
8305,commands,"push eye","push but","push button"
8306,other,"The %s %ssnaps at you, but your armour deflects the blow!","The %s %ssnaps at %s, but %s armour deflects the blow!","The %s %ssnaps at %syou, but you dodge out of the way!"
8307,other,"The %s %slunges at you, but your armour deflects the blow!","The %s %slunges at %s, but %s armour deflects the blow!","The %s %slunges at %syou, but you dodge out of the way!"
8308,other,"The %s %sclaws at you, but your armour deflects the blow!","The %s %sclaws at %s, but %s armour deflects the blow!","The %s %sclaws at you, %sbut you dodge out of the way!"
8309,other,"The %s %slashes at you, but your armour deflects the blow!","The %s %slashes at %s, but %s armour deflects the blow!","The %s %slashes at %syou, but you dodge out of the way!"
8310,other,"The %s %s %s with their %s, but %s dodges!","The %s %s you with their %s!","The %s %s %s with their %s!"
8311,other,"The %s %sswings at you, but your armour deflects the blow!","The %s %sswings at %s, but %s armour deflects the blow!","The %s %sswings at %syou, but you dodge out of the way!"
8312,other,"The %s %sreaches out for you!","The %s %sreaches out for %s! %s","The %s %sreaches %sout for you, but you dodge out of the way!"
8313,other,"A bounty hunter walks in from %s.","The bounty hunter walks out to %s.","The bounty hunter charges after you!"
8314,other,"The %s slashes you for %d damage!","The %s slashes %s for %s damage!","The bounty hunter reaches for you, then dies."
8315,other,"A %s strides in from %s.","The %s strides out to %s.","The dark cleric runs after you!"
8316,other,"The %s bludgeons you for %d damage!","The %s bludgeons %s for %s damage!","The dark cleric collapses in a heap."
8317,other,"A %s stalks in from %s.","The %s stalks out to %s.","The dark priest runs after you!"
8318,other,"The %s pounds you for %d damage!","The %s pounds %s for %s damage!","The dark priest falls to the ground, and is still."
8319,commands,"push brick","push bri","move brick"
8320,other,"A %s strides in from %s.","The %s strides out to %s.","The dark paladin charges after you!"
8321,other,"The %s slashes you for %d damage!","The %s slashes %s for %s damage!","The dark paladin falls to the ground with a grunt."
8322,other,"A %s stalks in from %s.","The %s stalks out to %s.","The hellhound lopes after you!"
8323,other,"The %s savagely rips you for %d damage!","The %s savagely rips %s for %s damage!","The hellhound growls menacingly, and dies."
8324,other,"A tentacled abomination slithers out of the dark pool.","The tentacled abomination slithers out to the %s.","The tentacled abomination lumbers after you!"
8325,other,"The %s whips you with a tentacle for %d damage!","The %s whips %s with a tentacle for %s damage!","The tentacled abomination collapses in a wet heap."
8326,other,"The %s %sflails at you, but your armour deflects the blow!","The %s %sflails at %s, but %s armour deflects the blow!","The %s %sflails at %syou, but you dodge out of the way!"
8327,other,"The %s %sflails at %s, %sbut %s dodges out of the way!","The %s %sflails at %syou with a tentacle!","The %s %sflails at %s with a %stentacle!"
8328,commands,"shoot","shoots","shoots"
8329,commands,"fire at","fires at","fires at"
8330,other,"%s enters from %s.","%s exits to %s.",""
8331,other,"You pull the lever. Off in the distance you hear a small click.","%s pulls a lever on the southern wall!",""
8332,other,"You push the button.","%s pushes a button!",""
8333,other,"You pull the lever.","%s pulls a lever on the wall!",""
8334,other,"You climb into the pitch-dark hole.","%s climbs through a hole in the wall!","%s enters through a hole in the wall!"
8335,other,"You pull open the manhole cover, and slip inside the hole.","%s enters a manhole in the ground!","%s enters from a manhole overhead!"
8336,other,"You push the brick, and it slides into a recess.","%s pushes a brick in the fireplace!",""
8337,commands,"spray","sprays","sprays"
8338,commands,"spray at","sprays at","sprays at"
8339,commands,"go path","enter path","walk path"
8340,other,"You push through the dense foliage, and walk onto a small path.","%s shoves aside the foliage, and disappears among the trees.","You hear a loud crashing sound, and %s appears through the trees!"
8341,other,"You step onto the crumbling edge of a pit, and fall inside!","%s steps onto the crumbling edge of a pit, and falls inside!","%s falls down into the pit from above!"
8342,other,"You scramble out of the shallow pit.","%s scrambles out of the shallow pit.","%s scrambles up out of the pit to safety."
8343,commands,"pull switch","move switch","pull swi"
8344,other,"You pull the switch, and hear a harsh grating sound from below.","%s moves around under the table.",""
8345,other,"","","The dark goblin archer charges after you!"
8346,other,"The %s shoots you for %d damage!","The %s shoots %s for %s damage!","The dark goblin archer collapses with a spiteful hiss."
8347,other,"You feel confused...","%s stumbles about, confused!","You are confused!"
8348,other,"shoot an arrow at %s but miss","shoots an arrow at %s but misses","shoots an arrow at %s but misses"
8349,other,"A %s walks in from %s.","The %s walks out to %s.","The bandit charges after you with a triumphant cry!"
8350,other,"The %s slashes you for %d damage!","The %s slashes %s for %s damage!","The bandit eyes you evilly, and dies."
8351,other,"A %s lopes in from %s.","The %s lopes out to %s.","The dog charges after you, yelping!"
8352,other,"The %s rips you for %d damage!","Ths %s rips %s for %s damage!","The dog yelps loudly, and dies."
8353,other,"A %s scuttles in from %s.","The %s scuttles out to %s.","The forest spider scuttles after you, chittering madly!"
8354,other,"The %s bites you for %d damage!","The %s bites %s for %s damage!","The forest spider curls up and dies."
8355,other,"A giant spider scuttles in from %s.","The giant spider scuttles out to %s.","The giant spider charges after you!"
8356,other,"The %s bites you savagely for %d damage!","The %s bites %s for %s damage!","The giant spider collapses with an evil wail."
8357,other,"A %s strides in from %s.","The %s strides out to %s.","The dark goblin runs after you!"
8358,other,"The %s smashes you for %d damage!","The %s smashes %s for %s damage!","The dark goblin spits up blood and dies!"
8359,other,"A %s shuffles in from %s.","The %s shuffles out to %s.","The kobold slave runs after you!"
8360,other,"The %s stabs you for %d damage!","The %s stabs %s for %s damage!","The kobold slave collapses with a sigh."
8361,other,"A %s strides in from %s.","The %s strides out to %s.","The black orc charges after you with a fierce cry!"
8362,other,"The %s slashes you for %d damage!","The %s slashes %s for %s damage!","The black orc falls to the ground with a grunt."
8363,other,"A %s lopes in from %s.","The %s lopes out to %s.","The dire wolf charges after you!"
8364,other,"The %s rips you savagely for %d damage!","The %s rips %s savagely for %s damage!","The dire wolf utters a low growl, and dies."
8365,other,"A %s oozes in from %s.","The %s oozes out to %s.","The slime beast oozes after you!"
8366,other,"The %s slaps you for %d damage!","The %s slaps %s for %s damage!","The slime beast dissolves into a mass of reeking flesh."
8367,other,"A %s stomps in from %s.","The %s stomps out to %s.","The half-ogre warrior lumbers after you!"
8368,other,"The %s smashes you for %d damage!","The %s smashes %s for %s damage!","The half-ogre warrior falls to the ground with a loud thump."
8369,other,"Thrag smashes in from %s!","Thrag smashes out to %s!","Thrag charges after you with a roar!"
8370,other,"%s smashes you for %d damage!","%s smashes %s for %s damage!","Thrag utters a deafening moan, and collapses."
8371,other,"%s %s you, but your armour deflects the blow!","%s %s %s, but %s armour deflects the blow!","%s %s you with his %s, but you dodge!"
8372,other,"%s %s %s with his %s, but %s dodges!","%s %s you with his %s!","%s %s %s with his %s!"
8374,commands,"slice and dice","slices and dices","slices and dices"
8375,commands,"swing at","swings at","swings at"
8376,other,"You drink the %s, and a healing warmth spreads through your body!","","%s quaffs a red potion!"
8377,cast,"You cast %s on %s, draining %d hit points!","%s casts %s on you, and siphons away %d hit points!","%s casts %s on %s, who reels in pain!"
8378,other,"You hop into one of the boats. In no time, you reach the island.","%s hops into one of the boats, and begins to row out across the river.","%s lands on the beach, and hops out of his boat onto the shore."
8379,commands,"go crack","enter crack","go path"
8380,other,"You walk into the wide crack, and follow a path through the rock.","%s walks into the wide crack.","%s enters from the wide crack."
8381,other,"The %s whaps you for %d damage!","The %s whaps %s for %s damage!",""
8382,other,"You squeeze through the narrow hole.","%s climbs into a hole.","%s enters from a narrow hole."
8383,other,"You feel dizzy for a moment, but the feeling quickly subsides.","%s just left to the south.","%s just arrived from the north."
8384,other,"You feel dizzy for a moment, but the feeling quickly subsides.","%s just left to the east.","%s just arrived from the west."
8385,other,"You feel dizzy for a moment, but the feeling quickly subsides.","%s just left to the north.","%s just arrived from the south."
8386,other,"You feel dizzy for a moment, but the feeling quickly subsides.","%s just left to the west.","%s just arrived from the east."
8387,commands,"river","say river","speak river"
8388,other,"You speak the word ""river"".","%s utters the word ""river"".",""
8389,commands,"push star","",""
8390,other,"You push the star symbol, and hear a slight click.","%s pushes the star symbol. You hear a slight click.",""
8391,commands,"push moon","",""
8392,other,"You push the moon symbol. You hear a slight click.","%s pushes the moon symbol. You hear a slight click.",""
8393,commands,"turn sun right","turn sun symbol right","twist sun right"
8394,other,"You turn the sun symbol right. You hear a small click.","%s turns the sun symbol right. You hear a small click.",""
8395,commands,"heartbeat","say heartbeat","speak heartbeat"
8396,other,"You speak the word ""heartbeat"".","%s utters the word ""heartbeat"".",""
8397,other,"pull ring","pull nose ring","pull nose-ring"
8398,other,"You pull the minotaur statue's nose ring, which retracts slightly.","%s pulls on the statue's nose ring.",""
8399,commands,"pull left horn","move left horn",""
8400,other,"You pull the minotaur statue's left horn, which moves freely.","%s pulls on the minotaur statue's left horn.",""
8401,commands,"push right eye","",""
8402,other,"You push the minotaur statue's right eye, which clicks audibly.","%s pushes the minotaur statue's right eye.",""
8403,commands,"pull right horn","move right horn",""
8404,other,"You pull the minotaur statue's right horn, which moves freely.","%s pulls on the minotaur statue's right horn.",""
8405,commands,"push left eye","",""
8406,other,"You push the statue's left eye, and a strong shock runs through you!!","%s pushes the statue's left eye, looks surprised, and vanishes!","%s appears in a shimmering flash!"
8407,other,"You pull the lever, and a trapdoor opens beneath you! You fall through!!","%s pulls the lever, and falls through a trapdoor!","%s falls through a hole in the ceiling!"
8408,other,"You clamber out of the hole, and fall ten feet onto a beach!","%s climbs out through the hole to the south.","%s falls out of a hole far up the face of the cliff!"
8409,other,"A minotaur champion stomps in from %s.","The minotaur champion stomps out to %s.","The minotaur champion charges after you!"
8410,other,"The %s cleaves you for %d damage!","The %s cleaves %s for %s damage!","The minotaur champion lets out a deafening bellow, and collapses!"
8411,verbs,"crush|smash|clobber","crushes|smashes|clobbers","crushes|smashes|clobbers"
8412,other,"A giant black ooze enters from %s.","The giant black ooze leaves to %s.","The giant black ooze follows you!"
8413,other,"The %s crushes you with its incredible bulk for %d damage!","Ths %s crushes %s with its incredible bulk for %s damage!","The giant black ooze dissolves."
8414,verbs,"rip|slice|cut","rips|slices|cuts","rips|slices|cuts"
8415,commands,"snap at","snaps at","snaps at"
8416,other,"A %s lopes in from %s.","The %s lopes out to %s.","The death dog runs in after you!"
8417,other,"The %s rips you for %d damage!","The %s rips %s for %s damage!","The death dog growls softly, and dies."
8418,other,"A %s strides in from %s.","The %s walks out to %s.","The skeletal warrior charges after you!"
8419,other,"The %s slashes you for %d damage!","The %s slashes %s for %s damage!","The skeletal warrior falters, then collapses in a heap."
8421,other,"A moaning spirit appears right beside you!","The moaning spirit vanishes with a wail!","The moaning spirit floats after you!"
8422,other,"The %s touches you with a ghostly hand for %d damage!","The %s touches %s with a ghostly hand for %s damage!","The spirit gasps loudly, sighs, and disappears."
8423,commands,"choke","chokes","chokes"
8424,commands,"reach for","reaches for","reaches for"
8425,other,"A huge tiger beetle scuttles in from %s.","The huge tiger beetle scuttles out to %s.","The huge tiger beetle charges after you!"
8426,other,"The %s rips you for %d damage!","The %s rips %s for %s damage!","The huge tiger beetle drops to the ground, its shell split."
8427,other,"You drink the %s, and a healing warmth spreads through your body!","","%s unstoppers a violet potion, and downs it in one gulp!"
8428,other,"You drink down the thick violet fluid.","","%s quaffs a violet potion!"
8429,other,"You climb into a boat, and row your way to the port.","%s climbs into a boat, and rows off across the river.","%s rows up to the dock in a boat and moors it."
8430,other,"A guardian golem stomps in from %s.","The guardian golem stomps out to %s.","The guardian golem stomps after you!"
8431,other,"The %s smashes you with its fist for %d damage!","The %s smashes %s with its fist for %s damage!","The guardian golem collapses, shattering into a thousand shards."
8432,other,"A walking chest enters from %s.","The walking chest walks out to %s.","The walking chest runs after you!"
8433,other,"The %s rips you for %d damage!","The %s rips %s for %s damage!","The mimic topples to the ground, broken."
8434,other,"The %s smacks you, but %syour armour absorbs the damage!","The %s %scrushes %s, but %s armour absorbs the damage!","The %s %slunges at you, %sbut you dodge out of the way!"
8435,other,"The %s %slunges at %s, %sbut %s dodges out of the way!","The %s %slunges at %syou!","The %s %slunges at %s! %s"
8436,other,"The %s %sreaches for you, but you move out of the way!","The %s %sreaches for %s, but %s moves out of the way!","The %s %sreaches for %syou, but you dodge!"
8437,other,"The %s %sreaches for %s, %sbut %s dodges!","The %s %sreaches for %syou!","The %s %sreaches for %s! %s"
8438,other,"The %s impales you for %d damage!","The %s impales %s for %s damage!",""
8439,other,"The %s all-out slashes you for %d damage!","The %s all-out slashes %s for %s damage!",""
8440,other,"The %s all-out slashes you for %d damage!","The %s all-out slashes %s for %s damage!",""
8441,cast,"The %s casts %s on you! You feel unlucky!","The %s casts %s on %s!",""
8442,other,"The %s breathes fire on you for %d damage!","The %s breathes fire on %s for %s damage!",""
8443,other,"You %s at %s for %d damage!","The %s %s at you for %d damage!","The %s %s at %s for %s damage!"
8444,other,"The %s all-out smashes you for %d damage!","The %s all-out smashes %s for %s damage!",""
8445,other,"The %s all-out chops you for %d damage!","The %s all-out chops %s for %s damage!",""
8446,other,"You %s at %s!","The %s %s at you!","The %s %s at %s!"
8447,other,"The %s bites you for %d damage! You feel sick!","The %s bites %s for %s damage!",""
8448,other,"","Poison burns through your veins!",""
8449,other,"","You feel VERY sick!",""
8450,other,"The %s all-out bludgeons you for %d damage!","The %s all-out bludgeons %s for %s damage!",""
8451,other,"%s picks you up and smashes you against the wall for %d damage!","%s picks %s up and smashes him against the wall!",""
8452,other,"%s smashes you with a huge fist for %d damage!","%s smashes %s with a huge fist for %s damage!",""
8453,other,"%s kicks you with a huge foot for %d damage!","%s kicks %s with a huge foot for %s damage!",""
8454,other,"The %s guts you with his horns for %d damage!","The %s guts %s with his horns for %s damage!",""
8455,other,"You %s from %s for %d damage!","%s %s from your body for %d damage!","%s %s from %s's body!"
8456,commands,"lash at","lashes at","lashes at"
8457,cast,"You cast %s, blinding everyone in the room!","%s casts %s, blinding everyone in the room!","%s casts %s, blinding everyone in the room!"
8458,cast,"You cast %s on %s.","%s casts %s on you. You can see in the dark!","%s casts %s on %s."
8459,cast,"You cast %s on yourself. A glimmering shield surrounds you!","","%s casts %s on %s!"
8460,cast,"You cast %s, and a crackling field surround you!","","%s casts %s, and a crackling field surrounds them!"
8461,cast,"You cast %s on %s!","%s casts %s on you!","%s casts %s on %s!"
8462,cast,"You cast %s on %s.","%s casts %s on you.","%s casts %s on %s!"
8463,cast,"You cast %s on %s.","%s casts %s on you.","%s casts %s on %s!"
8464,other,"The %s all-out slashes you for %d damage!","The %s all-out slashes %s for %s damage!",""
8465,other,"%s smacks you for %d damage!","%s smacks %s for %s damage!","Aiken utters a sharp cry, and dies."
8466,other,"%s %s you, but your armour deflects the blow!","%s %s %s, but %s armour deflects the blow!","%s %s you, but you dodge out of the way!"
8467,other,"%s %s %s, but the attack is dodged!","%s %s you with a %s!","%s %s %s with a %s!"
8468,other,"%s enters from %s.","%s exits to %s.","%s runs after you!"
8469,other,"%s chops you for %d damage!","%s chops %s for %s damage!","Thuluk groans loudly and collapses."
8470,other,"%s all-out chops you for %d damage!","%s all-out chops %s for %s damage!",""
8471,other,"%s slices you for %d damage!","%s slices %s for %s damage!","Helfgrim clutches his belly, and dies!"
8472,other,"%s smashes you for %d damage!","%s smashes %s for %s damage!","Colin eyes you hatefully, and falls."
8473,other,"%s all-out smashes you for %d damage!","%s all-out smashes %s for %s damage!",""
8474,other,"","The %s %s on you!","The %s %s on %s!"
8475,other,"","The %s %s!","The %s %s!"
8476,other,"A warlock mercenary strides in from %s.","The warlock mercenary walks out to %s.","The warlock mercenary charges after you!"
8477,other,"The %s slashes you for %d damage!","The %s slashes %s for %s damage!","The warlock mercenary attempts one last spell, but dies!"
8478,other,"You drink the clear potion, and you are blind!!","",""
8479,other,"%s strikes you, but your armour deflects the blow!","%s strikes %s, but %s armour deflects the blow!","%s swings at you, but you dodge!"
8480,other,"%s %s %s with his %s, but %s dodges!","%s %s you with his %s!","%s %s %s with his %s!"
8481,other,"The %s utters a %s!","The %s utters a %s!","The %s utters a %s!"
8482,other,"A giant bat flaps in from %s!","The giant bat flaps out to %s.","The giant bat flaps after you!"
8483,other,"The %s bites you for %d damage!","The %s bites %s for %s damage!","The giant bat squeaks loudly, and falls to the ground!"
8484,other,"A gelatinous cube oozes in from %s!","The gelatinous cube oozes out to %s!","The gelatinous cube oozes after you!"
8485,other,"The %s oozes over you for %d damage!","The %s oozes over %s for %s damage!","The gelatinous cube dissolves into a sloppy puddle."
8486,other,"The %s %smoves towards you!","The %s %smoves towards %s!","The %s %smoves towards you, but you dodge!"
8487,other,"The %s %smoves towards %s!","The %s %smoves towards you!","The %s %smoves towards %s!"
8488,other,"","The %s reaches out and %s your weapon!","The %s reaches out and %s %s's weapon!"
8489,spell,"You fumble in confusion!","%s fumbles about dazedly!","You are confused!"
8490,other,"You throw a %s at %s for %d damage!","%s throws a %s at you for %d damage!","%s throws a %s at %s for %s damage!"
8491,cast,"You cast %s on the room!","%s casts %s on the room!","%s casts %s on the room!"
8492,cast,"You cast %s on %s!","%s casts %s on you!","%s casts %s on %s!"
8493,cast,"You cast %s on %s!","%s casts %s on you!","%s casts %s on %s!"
8494,cast,"You cast %s!","%s casts %s!","%s casts %s!"
8495,cast,"You cast %s, ensnaring %s with powerful vines!","%s casts %s on you, ensnaring you with powerful vines!","%s casts %s, ensnaring %s with powerful vines!"
8496,cast,"You cast %s, and %s's weapon is destroyed!","%s casts %s, and your weapon is destroyed!","%s casts %s, and %s's weapon is destroyed!"
8497,cast,"You cast %s on %s for %d damage!","%s casts %s on you for %d damage!","%s casts %s on %s for %s damage!"
8498,other,"ROT","LEPRO","ROT MAN!"
8499,other,"You fire an %s at %s for %d damage!","%s fires an %s at you for %d damage!","%s fires an %s at %s for %s damage!"
8500,cast,"You sing the %s!","%s sings the %s!","%s sings the %s!"
8501,cast,"You sing the %s to %s!","%s sings the %s!","%s sings the %s to %s!"
8502,cast,"You sing the %s to %s!","%s sings the %s to you!","%s sings the %s to %s!"
8503,cast,"You sing the %s to %s!","%s sings the %s to you! You are charmed!","%s sings the %s to %s!"
8504,cast,"You sing the %s to %s, causing %d damage!","%s sings the %s to you, causing %d damage!","%s sings the %s to %s for %s damage!"
8505,cast,"You sing the %s to %s!","%s sings the %s to you!","%s sings the %s to %s!"
8506,cast,"You sing the %s to %s!","%s sings the %s to you!","%s sings the %s to %s!"
8507,cast,"You sing the %s to %s!","%s sings the %s to you!","%s sings the %s to %s!"
8508,cast,"You sing the %s to %s!","%s sings the %s to you!","%s sings the %s to %s!"
8509,cast,"You sing the %s to %s!","%s sings the %s to you!","%s sings the %s to %s!"
8510,cast,"You sing the %s to %s!","%s sings the %s to you!","%s sings the %s to %s!"
8511,cast,"You sing the %s to %s!","%s sings the %s to you!","%s sings the %s to %s!"
8512,cast,"You sing the %s to %s!","%s sings the %s to you!","%s sings the %s to %s!"
8513,cast,"You sing the %s!","%s sings the %s!","%s sings the %s!"
8514,cast,"You sing the %s to %s!","%s sings the %s to you!","%s sings the %s to %s!"
8515,cast,"You sing the %s to %s, draining %d hit points!","%s sings the %s to you, draining %d hit points!","%s sings the %s to %s!"
8516,cast,"You sing the %s to %s, causing %d damage!","%s sings the %s to you, causing %d damage!","%s sings the %s to %s for %s damage!"
8517,cast,"You invoke the %s.","","%s invokes the %s!"
8518,spell,"You invoke the %s, and breathe fire on %s for %d damage!","%s invokes the %s, and breathes fire on you for %d damage!","%s invokes the %s, breathing fire on %s for %s damage!"
8519,cast,"You invoke the %s.","","%s invokes the %s!"
8520,cast,"You invoke the %s.","","%s invokes the %s!"
8521,spell,"The effects of the mummy's breath wears off!","","You are blind!"
8522,cast,"You cast %s, and %s is surrounded in a white glow!","%s casts %s, and you are surrounded in a white glow!","%s casts %s on %s!"
8523,cast,"You cast %s, and %s is surrounded by a dark glow!","%s casts %s, and you are surrounded by a dark glow!","%s casts %s on %s!"
8524,other,"%s takes %d fire damage!","You take %d fire damage!","%s takes %s fire damage!"
8525,spell,"The effects of alertness wear off!","","You feel perceptive!"
8526,spell,"The effects of resist cold wear off!","","You feel resistant to cold!"
8527,spell,"The effects of resist fire wear off!","","You feel resistant to fire!"
8528,spell,"The effects of barkskin wear off!","","You feel tough!"
8529,spell,"The effects of resist lightning wear off!","","You feel resistant to lightning!"
8530,spell,"The effects of entangle wear off!","","You are entangled!"
8531,spell,"The effects of ethereal shield wear off!","","You feel protected!"
8532,spell,"The effects of smite wear off!","","You feel powerful!"
8533,spell,"The effects of magic armour wear off!","","You feel armoured!"
8534,spell,"You can see again!","","You are blind!"
8535,spell,"The effects of shockshield wear off!","A crackling field of lightning surrounds %s!","You are surrounded by a shield of lightning!"
8536,spell,"You speed up.","","You feel slow!"
8537,spell,"You slow down.","","You feel fast!"
8538,spell,"The effects of confusion wear off!","","You are confused!"
8539,spell,"The effects of bless wear off!","","You feel lucky!"
8540,spell,"The effects of curse wear off!","","You feel unlucky!"
8541,spell,"You no longer feel safe from evil!","","You feel safe from evil!"
8542,spell,"You no longer feel safe from good!","","You feel safe from good!"
8543,spell,"The effects of fear wear off!","","You are afraid!"
8544,spell,"You can move again!","","Your legs are paralyzed!"
8545,other,"You fire a bolt of %s at %s for %d damage!","%s fires a bolt of %s at you for %d damage!","%s fires a bolt of %s at %s for %s damage!"
8546,spell,"The effects of way of the owl wear off!","","You feel strong-willed!"
8547,spell,"The effects of way of the tiger wear off!","","You feel ferocious!"
8548,spell,"The effects of way of the cat wear off!","","You feel stealthy!"
8549,spell,"Your intelligence returns to normal.","","You feel smart!"
8550,spell,"Your wisdom returns to normal.","","You feel wise!"
8551,spell,"Your strength returns to normal.","","You feel strong!"
8552,spell,"Your agility returns to normal.","","You feel agile!"
8553,spell,"Your wisdom returns to normal.","","You feel foolish!"
8554,spell,"Your intelligence returns to normal.","","You feel dull!"
8555,spell,"Your strength returns to normal.","","You feel weak!"
8556,spell,"Your agility returns to normal.","","You feel clumsy!"
8557,spell,"The effects of song of traveling wear off.","","Your load is lightened!"
8558,spell,"The effects of way of the boar wear off.","","You feel berserk!"
8559,spell,"The effects of way of the monkey wear off.","","You feel evasive!"
8560,spell,"The effects of the death dog's shriek wear off!","","You feel confused!"
8561,spell,"The effects of the mummy's curse wears off!","","You feel cursed!"
8562,other,"You are petrified!","","You are petrified!"
8563,other,"You climb into one of the skiffs, and row to Silvermere.","%s climbs into one of the skiffs, and rows out into the river.","%s rows up to the docks."
8564,commands,"borrow skiff","go skiff","row skiff"
8565,other,"The %s bludgeons you for %d damage!","The %s bludgeons %s for %s damage!","The zombie collapses in a broken heap."
8566,other,"A zombie shambles in from %s!","The zombie shambles out to %s!","The zombie lumbers after you!"
8567,other,"A cave bear lumbers in from %s!","The cave bear lumbers out to %s!","The cave bear charges after you!"
8568,other,"The %s slashes you for %d damage!","The %s slashes %s for %s damage!","The cave bear falls to the ground with a grunt!"
8569,other,"The %s bites you for %d damage!","The %s bites %s for %s damage!",""
8570,other,"An invisible barrier blocks your entry!","%s is stopped by an invisible force!",""
8571,other,"The wall swivels rapidly around, moving you into another room!","%s is swept out of sight by a swiveling wall!","%s is swept into the room by a swiveling wall!"
8572,other,"The %s slashes you for %d damage!","The %s slashes %s for %s damage!","The troll spits up some black blood, and dies!"
8573,other,"The %s grabs you and chomps you for %d damage!","The %s grabs %s and chomps him for %s damage!",""
8574,other,"A %s lumbers in from %s.","The %s lumbers out to %s.","The %s charges after you!"
8575,spell,"The effects of the poison wear off!","","You feel ill."
8576,commands,"go portal","enter portal","walk portal"
8577,other,"You step through the shimmering portal.","%s steps through the shimmering portal, and vanishes!","%s appears in a brilliant blue flash!"
8578,other,"The %s bites you for %d damage!","The %s bites %s for %s damage!","The salamander falls to the ground, its flame extinguished!"
8579,other,"A salamander slithers in from %s!","The salamander slithers in from %s!","The salamander charges after you!"
8580,other,"An ogre stomps in from %s.","The ogre stomps out to %s.","The %s charges after you!"
8581,other,"The %s smashes you for %d damage!","The %s smashes %s for %s damage!","The ogre topples to the ground, shaking the room!"
8582,other,"You pull the lever, and step through the gate.","%s pulls the lever, and steps through the gate.","%s appears in a puff of smoke!"
8583,other,"The %s rips you for %d damage!","The %s rips %s for %s damage!","The %s vanishes in a puff of smoke."
8584,other,"A young girl walks in from %s.","The young girl leaves to %s.","The %s follows you!"
8585,other,"","","The young girl frowns, and vanishes."
8586,commands,"turn right candle left","twist right candle left","turn right candlestick left"
8587,other,"You turn the candle, and slip through a hidden door.","%s slips through a hidden door!","%s enters from a hidden door!"
8588,other,"An owlbear stomps in from %s.","The owlbear stomps in from %s.","The %s charges after you!"
8589,other,"The %s smashes you for %d damage!","The %s smashes %s for %s damage!","The owlbear falls to the ground with a heavy thump."
8590,other,"The %s rips you with its beak for %d damage!","The %s rips %s with its beak for %s damage!",""
8591,other,"You raise your weapon into the air, summoning its power!","%s summons the power of the magical weapon!","%s raises the magical weapon into the air!"
8592,commands,"pound","pounds","pounds"
8593,other,"A fire elemental flickers into from %s.","The fire elemental flickers out to %s.","The %s follows you!"
8594,other,"The %s sears you for %d damage!","The %s sears %s for %s damage!","The fire elemental dissipates!"
8595,cast,"You invoke %s on %s, who is enveloped in flames!","%s uses the obsidian runestaff on you! You are enveloped in flames!","%s invokes %s on %s, who is enveloped in flames!"
8596,spell,"The flames enveloping you die down!","","You are on fire!"
8597,other,"","The %s envelops you in flames!","The %s %s %s in flames!"
8598,other,"A frost serpent slithers in from %s.","The frost serpent slithers out to %s.","The %s slithers after you!"
8599,other,"The %s bites you for %d damage!","The %s bites %s for %s damage!","The frost serpent curls up and dies."
8600,other,"A two-headed hydra lumbers in from %s.","The two-headed hydra stomps out to %s.","The %s charges after you!"
